"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","GNI_Constant Prices","GNI_Current Prices","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices"
"Multilaterals, Total","Group","Group","Group","2018-01-02",2014,14377.87,16225.07,18123.43,20532.43,18137.6,20549.15,13854.86,16389.3,20883.89,23560.42,20901.44,23581.18,0,0,13854.86,16389.3,0,0,23.763,28.11,52.243,61.8,14903,16815.04,14913.68,16827.67,10.68,12.63,16210.55,18307.67,16224.22,18323.82,13907.103,16451.1
"Multilaterals, Total","Group","Group","Group","2018-01-02",2015,15251.36,15251.36,19662.88,19662.88,19743.14,19743.14,13545.56,13545.56,22526.03,22526.03,22606.53,22606.53,0,0,13545.56,13545.56,0,0,0,0,124.04,124.04,15998.53,15998.53,16056.37,16056.37,57.84,57.84,17878.07,17878.07,17957.85,17957.85,13669.6,13669.6
"Multilaterals, Total","Group","Group","Group","2018-01-02",2016,15352.36,15302.5,19949.76,19902.8,20147.32,20101.75,16713.228,16832.4,21972.67,21905.56,22176.24,22110.58,0,0,16713.228,16832.4,0,0,0,0,272.04,273.98,16650.44,16594.4,16806.51,16751.56,156.07,157.16,17217.43,17159.55,17412,17355.49,16985.268,17106.38
"Netherlands","Donor","DAC","EU","2018-01-02",2007,1254.83,1446.21,1116.95,1287.3,1740.16,2005.52,3688.86,4251.4,1048.91,1208.9,1732.09,1996.25,668488.702,770431.21,4029.373,4643.84,340.513,392.44,109.18,125.83,1371.292,1580.41,983.5,1133.5,1530.83,1764.28,547.33,630.78,1052.63,1213.18,1611.85,1857.65,5060.152,5831.81
"Netherlands","Donor","DAC","EU","2018-01-02",2008,1342.08,1670.14,1191.72,1483.01,1826.34,2272.77,4078.782,5075.86,1174.19,1461.22,1865.48,2321.5,698284.112,868983.12,4178.175,5199.55,99.393,123.69,201.156,250.33,1440.832,1793.05,1062.33,1322.02,1618.11,2013.64,555.78,691.62,1128.69,1404.58,1704.52,2121.18,5519.614,6868.91
"Netherlands","Donor","DAC","EU","2018-01-02",2009,1063.7,1283.08,971.99,1172.48,1500.96,1810.52,3941.173,4754.09,983.34,1186.18,1560.31,1882.16,649259.813,783177.83,3977.517,4797.93,36.344,43.84,280.221,338.02,1349.748,1628.15,906.66,1093.68,1350,1628.47,443.34,534.79,915.02,1103.76,1407.02,1697.21,5290.921,6382.24
"Netherlands","Donor","DAC","EU","2018-01-02",2010,931.47,1078.06,782.15,905.24,1295.17,1499,3751.738,4342.18,844.83,977.79,1423.47,1647.45,674085.768,780172.18,4183.092,4841.42,431.354,499.24,293.638,339.85,1309.762,1515.89,754.45,873.18,1204.77,1394.37,450.32,521.19,749.85,867.86,1215.89,1407.24,5061.5,5858.07
"Netherlands","Donor","DAC","EU","2018-01-02",2011,996.71,1212.76,799.66,973.02,1457.98,1774.01,3464.429,4215.33,783.8,953.72,1443.25,1756.07,692093.889,842102.34,3563.842,4336.29,99.413,120.96,395.703,481.47,1650.032,2007.67,670.99,816.44,1195.98,1455.2,524.99,638.76,759.42,924.05,1347,1638.97,5114.461,6223
"Netherlands","Donor","DAC","EU","2018-01-02",2012,889.24,1014.34,651.83,743.58,1255.63,1432.36,3276.104,3737.21,668.15,762.13,1280.83,1461.03,682177.098,778192.31,3381.579,3857.53,105.475,120.32,297.279,339.12,1459.84,1665.31,582.98,665.03,1021.43,1165.17,438.45,500.14,612.14,698.29,1129.84,1288.86,4735.944,5402.52
"Netherlands","Donor","DAC","EU","2018-01-02",2013,974.41,1163.54,711.53,849.61,1422.53,1698.59,3002.529,3585.255,658.7,786.58,1383.7,1652.26,680657.943,812758.9,3054.121,3646.86,51.592,61.605,312.128,372.705,1497.875,1788.58,578.84,691.18,1140.98,1362.43,562.14,671.25,690.22,824.17,1324.38,1581.41,4500.404,5373.835
"Netherlands","Donor","DAC","EU","2018-01-02",2014,813.65,972.34,632.74,756.17,1238.76,1480.4,3317.003,3964.09,566.18,676.63,1154.99,1380.28,734310.89,877561.36,3369.753,4027.13,52.75,63.04,782.691,935.38,1293.51,1545.85,487.59,582.72,931.5,1113.2,443.91,530.48,618.02,738.58,1137.57,1359.46,4610.513,5509.94
"Netherlands","Donor","DAC","EU","2018-01-02",2015,903.52,903.52,629.46,629.46,1364.49,1364.49,4117.32,4117.32,577.65,577.65,1358.07,1358.07,764747.64,764747.64,4162.86,4162.86,45.54,45.54,1325.72,1325.72,1562.65,1562.65,464.86,464.86,1036.44,1036.44,571.58,571.58,611.92,611.92,1276.45,1276.45,5679.97,5679.97
"Netherlands","Donor","DAC","EU","2018-01-02",2016,1015.33,1017.86,661.03,662.68,1486.82,1490.54,3095.433,3103.15,599.33,600.81,1490.93,1494.63,763616.571,765520.29,3149.728,3157.58,54.295,54.43,432.771,433.85,1804.182,1808.68,505.39,506.65,1181.77,1184.71,676.38,678.06,631.91,633.48,1350.67,1354.05,4899.615,4911.83
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2007,25.52,23.11,11.37,10.33,32.92,29.84,272.984,247.08,68.27,61.82,98.53,89.2,132643.785,120056.95,272.984,247.08,0,0,14.252,12.9,80.344,72.72,61.01,55.25,84.68,76.69,23.67,21.44,11.37,10.33,31.35,28.41,353.328,319.8
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2008,29.32,25.97,16.08,14.27,38.78,34.35,313.743,277.78,86.72,76.79,115.62,102.4,129306.758,114484.94,313.743,277.78,0,0,13.712,12.14,79.266,70.18,82.66,73.21,105.17,93.16,22.51,19.95,15.92,14.13,35.32,31.29,393.009,347.96
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2009,29.9,24.12,12.07,9.73,38.02,30.68,279.931,225.99,82.42,66.53,116.27,93.87,137946.683,111365.09,279.931,225.99,0,0,11.755,9.49,103.17,83.29,89.12,71.95,115.58,93.33,26.46,21.38,12.07,9.73,37.06,29.91,383.101,309.28
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2010,24.45,23.38,11.17,10.7,31.78,30.42,283.258,271.23,83.04,79.52,106.87,102.3,139972.408,134028.54,283.258,271.23,0,0,13.169,12.61,74.149,71,68.62,65.73,86.46,82.76,17.84,17.03,11.17,10.7,30.36,29.05,357.407,342.23
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2011,28.94,31.25,14.12,15.23,37.71,40.72,305.335,329.59,76.83,82.92,108.96,117.64,142305.097,153609.44,305.335,329.59,0,0,12.803,13.82,87.592,94.55,75.05,81.02,102.54,110.7,27.49,29.68,12.95,13.97,35.1,37.89,392.927,424.14
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2012,19.31,21.28,6.33,6.98,24.28,26.76,327.593,361.54,87,96.01,114.12,125.92,147167.237,162417.47,327.593,361.54,0,0,17.452,19.26,79.339,87.56,91.13,100.57,113.8,125.58,22.67,25.01,5.6,6.17,22.28,24.54,406.932,449.1
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2013,29.81,34.28,3.86,4.45,35.42,40.72,304.871,350.54,75.09,86.34,116.3,133.72,151525.708,174224,304.871,350.54,0,0,16.951,19.49,92.86,106.77,75.89,87.27,109.68,126.12,33.79,38.85,3.58,4.13,33.79,38.86,397.731,457.31
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2014,23.26,27.58,10.42,12.34,31.82,37.71,344.649,409.09,77.95,92.51,106.99,126.98,158244.052,187832.12,344.649,409.09,0,0,16.698,19.82,81.771,97.06,95.48,113.33,117.28,139.21,21.8,25.88,9.93,11.76,29.96,35.53,426.42,506.15
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2015,25.2,25.2,8.38,8.38,33.45,33.45,358.06,358.06,82.15,82.15,114.84,114.84,166605.74,166605.74,358.06,358.06,0,0,16.66,16.66,83.68,83.68,113.41,113.41,138.2,138.2,24.79,24.79,7.65,7.65,31.25,31.25,441.74,441.74
"New Zealand","Donor","DAC","Non-EU","2018-01-02",2016,22.48,22.84,8.27,8.38,30.09,30.58,351.662,357.87,80.71,82.11,109.93,111.83,172121.513,175159.86,351.662,357.87,0,0,16.42,16.71,78.828,80.22,111.37,113.34,134.02,136.38,22.65,23.04,7.55,7.65,27.62,28.06,430.49,438.09
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2007,345.37,353.48,654.81,677.28,707,731.46,5051.784,5313.2,1620.89,1707.58,1676.78,1765.77,1424464.942,1505389.02,5051.784,5313.2,0,0,33.947,39.81,190.591,199.65,1317.02,1378.87,1360.32,1423.97,43.3,45.1,240.36,243.48,284.47,289.27,5242.375,5512.85
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2008,720.39,789.41,1077.4,1180.38,1154.78,1266.82,7237.258,8021.37,1250.45,1420.23,1324.99,1503.45,1554130.513,1791854.84,7237.258,8021.37,0,0,83.739,109.25,276.768,312.47,599.7,682.24,658.76,747.94,59.06,65.7,318.74,348.88,381.7,419,7514.026,8333.84
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2009,302.85,317.37,351.03,368.6,434.22,456.86,5077.839,5400.46,1104,1185.46,1182.11,1268.3,1780643.319,1899168.5,5077.839,5400.46,0,0,55.097,64.07,466.686,495.53,438.95,470.84,499.27,534.75,60.32,63.91,168.42,175.54,241.61,253.12,5544.525,5895.99
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2010,295.77,314.37,314.85,335.39,394.65,420.16,4750.92,5244.33,735.81,837.2,819.96,926.9,3146338.235,3702697.84,4750.92,5244.33,0,0,52.553,66.6,1063.572,1168.92,387.58,432.03,453.65,502.37,66.07,70.34,201.87,214.53,271.84,288.83,5814.492,6413.25
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2011,500.9,600.38,525.77,622.78,698.69,837.55,6710.077,7704.58,1097.62,1312.27,1260.67,1516.19,3312071.521,4118649.24,6710.077,7704.58,0,0,173.035,213.5,875.035,1041.77,431.79,515.54,562.48,679.4,130.69,163.86,279.11,337.47,427.33,523.38,7585.112,8746.35
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2012,986.83,1193.79,951.33,1133.99,1160.37,1400.96,4237.842,4965.73,2313.29,2766.85,2521.9,3037.19,3602681.941,4624166.19,4237.842,4965.73,0,0,90.027,110.8,955.796,1139.76,600.43,700.53,744.32,887.73,143.89,187.2,362.38,425.12,541.11,657.57,5193.638,6105.49
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2013,5110.68,5802.79,5180.68,5834.09,5452.57,6197.12,13207.902,15038.62,6864.42,7896.67,7169.95,8314.31,3943216.304,5112615.741,13207.902,15038.62,0,0,71.233,87.53,980.668,1217.75,513.81,617.32,743.15,930.89,229.34,313.57,313.82,386.78,557.38,716.67,14188.57,16256.37
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2014,3278.56,3667.33,3894.34,4350.46,4087.54,4580.84,20534.933,23035.53,5806.39,6574.54,5989.35,6795,4015445.484,4923271.82,20697.783,23275.59,162.85,240.06,113.122,130.37,1103.829,1286.76,498.09,570.55,636.23,736.76,138.14,166.21,271.51,317.8,429.99,507.85,21638.762,24322.29
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2015,3192.47,3192.47,4379.89,4379.89,4596.3,4596.3,16339.91,16339.91,7228.28,7228.28,7448.03,7448.03,4277632.472,4277632.472,16755.95,16755.95,416.04,416.04,5.68,5.68,793.01,793.01,1848.76,1848.76,2011.38,2011.38,162.62,162.62,763.21,763.21,946.23,946.23,17132.92,17132.92
"Non-DAC Countries, Total","Group","Group","Group","2018-01-02",2016,2283.29,2275.47,2602.25,2593.99,2842.56,2831.27,12896.88,12612.45,10066.92,9820.93,10312.7,10063.37,4314686.67,4237181.36,13336.15,13037.39,439.27,424.94,69.116,67.39,1492.933,1466.35,1710.09,1693.37,1891,1871.74,180.91,178.37,474.54,467.32,664.7,654.87,14389.813,14078.8
"Norway","Donor","DAC","Non-EU","2018-01-02",2007,990.95,1108.44,803.38,898.61,1159.45,1296.89,2528.212,2828.06,1000.27,1118.89,1411.08,1578.43,350750.832,392350.13,2583.165,2889.53,54.953,61.47,69.623,77.88,755.676,845.3,854.41,955.71,1193.92,1335.46,339.51,379.75,747.71,836.34,1091.13,1220.46,3283.888,3673.36
"Norway","Donor","DAC","Non-EU","2018-01-02",2008,966.45,1225.61,797.28,1011.1,1160.58,1471.81,2393.625,3035.58,983.97,1247.87,1380.85,1751.18,355291.233,450578.21,2427.129,3078.07,33.504,42.49,111.355,141.22,731.505,927.69,833.27,1056.75,1152.61,1461.71,319.34,404.96,731.02,927.07,1072.89,1360.6,3125.13,3963.27
"Norway","Donor","DAC","Non-EU","2018-01-02",2009,979.6,1070.53,823.36,899.81,1199.36,1310.7,2880.175,3147.55,997.48,1090.07,1416.53,1547.98,352802.13,385553.8,2894.88,3163.62,14.705,16.07,369.151,403.42,839.662,917.61,825.23,901.84,1152.68,1259.68,327.45,357.84,744.09,813.18,1093.46,1194.97,3719.837,4065.16
"Norway","Donor","DAC","Non-EU","2018-01-02",2010,942.97,1134.24,783.07,941.92,1158.47,1393.44,2773.862,3336.44,1016.38,1222.54,1442.17,1734.69,345812.205,415947.72,2787.572,3352.93,13.71,16.49,278.813,335.36,846.873,1018.63,827.62,995.5,1163.72,1399.75,336.1,404.25,701.32,843.6,1050.02,1263.01,3620.735,4355.07
"Norway","Donor","DAC","Non-EU","2018-01-02",2011,932.08,1290.88,773.54,1071.34,1153.69,1597.81,2555.988,3539.83,919.63,1273.62,1326.71,1837.39,356271.539,493406.49,2571.707,3561.6,15.719,21.77,190.047,263.2,862.146,1194,771.41,1068.34,1099.51,1522.74,328.1,454.4,685.77,949.79,1041.47,1442.41,3418.134,4733.83
"Norway","Donor","DAC","Non-EU","2018-01-02",2012,871.86,1202.98,686.76,947.54,1083.63,1495.17,2537.827,3501.51,819.25,1130.36,1260.33,1738.95,370658.257,511407.42,2553.171,3522.68,15.344,21.17,164.388,226.81,891.705,1230.31,671.9,927.04,1000.89,1381.03,328.99,453.99,616.01,849.92,992.89,1369.97,3429.532,4731.82
"Norway","Donor","DAC","Non-EU","2018-01-02",2013,948.88,1328.18,740.6,1036.61,1133.35,1586.42,3066.464,4292.117,953.7,1334.88,1400.75,1960.64,371008.368,519298.91,3083.398,4315.82,16.934,23.703,192.853,269.936,904.154,1265.54,752.45,1053.2,1099.47,1538.98,347.02,485.78,676.37,946.71,1049.75,1469.4,3970.618,5557.657
"Norway","Donor","DAC","Non-EU","2018-01-02",2014,927.11,1214.39,718.78,941.49,1132.03,1482.8,2955.13,3870.76,935.08,1224.83,1389.69,1820.31,388119.571,508376.2,2969.063,3889.01,13.933,18.25,212.796,278.73,913.796,1196.93,736.88,965.19,1084.54,1420.61,347.66,455.42,635.12,831.9,1015.55,1330.23,3868.926,5067.69
"Norway","Donor","DAC","Non-EU","2018-01-02",2015,937.4,937.4,665.73,665.73,1104.6,1104.6,3289.39,3289.39,917.16,917.16,1405.49,1405.49,409057.33,409057.33,3306.79,3306.79,17.4,17.4,462.89,462.89,970.87,970.87,727.91,727.91,1096.47,1096.47,368.56,368.56,614.22,614.22,1035.48,1035.48,4260.26,4260.26
"Norway","Donor","DAC","Non-EU","2018-01-02",2016,937.5,885.08,659.42,622.57,1127.39,1064.38,3636.663,3433.4,988.72,933.44,1507.1,1422.84,413638.083,390518.68,3655.602,3451.28,18.939,17.88,847.287,799.93,983.776,928.79,697.8,658.8,1096.54,1035.24,398.74,376.44,615.1,580.72,1042.2,983.94,4620.439,4362.19
"Poland","Donor","DAC","EU","2018-01-02",2007,59.47,69.05,4,4.64,84.73,98.38,134.149,155.8,3.08,3.56,82.8,96.13,308067.147,357789,134.149,155.8,0,0,0,0,178.319,207.1,5.02,5.79,64.48,74.85,59.46,69.06,3.64,4.22,68.61,79.66,312.468,362.9
"Poland","Donor","DAC","EU","2018-01-02",2008,73.68,100.57,9.18,12.54,102.56,140.03,61.537,83.99,11.57,15.79,105.49,143.98,362055.727,494156.48,61.537,83.99,0,0,0,0,211.413,288.55,9.65,13.17,82.87,113.09,73.22,99.92,9,12.29,88.85,121.3,272.95,372.54
"Poland","Donor","DAC","EU","2018-01-02",2009,74.41,82.83,9.98,11.08,118.94,132.41,82.683,92.06,16.19,18.03,114.31,127.27,376391.782,419077.58,82.683,92.06,0,0,0,0,254.022,282.83,14.06,15.66,90.34,100.58,76.28,84.92,9.33,10.36,103.21,114.89,336.705,374.89
"Poland","Donor","DAC","EU","2018-01-02",2010,74.16,86.58,2.76,3.18,105.84,123.51,82.265,96.04,9.37,10.91,116.01,135.43,387483.321,452364.9,82.265,96.04,0,0,0,0,241.305,281.71,8.05,9.37,92.15,107.59,84.1,98.22,2.6,3.01,91.9,107.27,323.57,377.75
"Poland","Donor","DAC","EU","2018-01-02",2011,56.45,69.26,3,3.68,98.26,120.54,73.936,90.68,11.59,14.19,91.32,111.99,404404.408,495985.96,73.936,90.68,0,0,0,0,266.45,326.79,9.93,12.17,70.97,87.04,61.04,74.87,2.32,2.84,73.93,90.69,340.386,417.47
"Poland","Donor","DAC","EU","2018-01-02",2012,68.78,78.62,2.97,3.38,111.17,127.09,97.556,111.55,13.38,15.28,101.41,115.93,409529.375,468274.8,97.556,111.55,0,0,0,0,270.682,309.51,10.23,11.69,67.81,77.55,57.58,65.86,2.44,2.78,76.73,87.72,368.238,421.06
"Poland","Donor","DAC","EU","2018-01-02",2013,102.45,120.9,37.29,44,144.9,171,107.7,127.11,43.52,51.34,136.07,160.58,429473.353,506874.6,107.7,127.11,0,0,0,0,305.035,360.01,39.51,46.6,105.74,124.78,66.23,78.18,36.8,43.42,116.04,136.92,412.735,487.12
"Poland","Donor","DAC","EU","2018-01-02",2014,107.94,128.22,34.57,41.06,153.24,182.03,69.256,82.28,37.77,44.83,142.63,169.39,444129.344,527653.05,69.256,82.28,0,0,0,0,311.07,369.57,34.3,40.73,109.51,130.05,75.21,89.32,34.09,40.49,121.31,144.08,380.326,451.85
"Poland","Donor","DAC","EU","2018-01-02",2015,120.33,120.33,43.3,43.3,166.46,166.46,100.19,100.19,49.45,49.45,164.46,164.46,460044.56,460044.56,100.19,100.19,0,0,9.29,9.29,340.71,340.71,44.25,44.25,125.11,125.11,80.86,80.86,42.92,42.92,135.67,135.67,440.9,440.9
"Poland","Donor","DAC","EU","2018-01-02",2016,190.17,182.42,83.68,80.27,259.06,248.47,154.285,148.01,95.6,91.71,260.21,249.59,469821.585,450712.71,155.307,148.99,1.022,0.98,6.025,5.78,535.75,513.96,73.69,70.7,190.63,182.86,116.94,112.16,82.18,78.84,204.25,195.9,690.035,661.97
"Portugal","Donor","DAC","EU","2018-01-02",2007,114.43,130.52,123.37,140.73,205.32,234.21,236.346,269.63,104.27,118.95,188.42,214.96,187816.835,214267.08,236.819,270.17,0.473,0.54,0.368,0.42,175.635,200.37,114.62,130.76,180.34,205.74,65.72,74.98,108.94,124.26,178.53,203.64,411.981,470
"Portugal","Donor","DAC","EU","2018-01-02",2008,125.49,153.47,200.28,244.93,296.29,362.33,304.899,372.87,100.48,122.88,198.15,242.32,187609.472,229433.43,305.308,373.37,0.409,0.5,0.286,0.35,201.794,246.78,109.96,134.48,189.24,231.42,79.28,96.94,121.67,148.79,207.95,254.3,506.693,619.65
"Portugal","Donor","DAC","EU","2018-01-02",2009,116.62,139.19,143.85,171.69,231.22,275.98,254.875,304.23,102.97,122.9,181.34,216.49,183396.139,218909.07,231.711,276.58,-23.164,-27.65,0.226,0.27,197.815,236.12,114.24,136.36,176.6,210.86,62.36,74.5,125.99,150.38,199.5,238.13,452.69,540.35
"Portugal","Donor","DAC","EU","2018-01-02",2010,175.05,199.97,253.18,289.28,353.05,403.36,346.602,396.03,144.82,165.46,247.62,282.85,193385.557,220963.84,346.646,396.08,0.044,0.05,0.236,0.27,221.318,252.88,167.24,191.08,250.11,285.73,82.87,94.65,252.65,288.68,340.87,389.46,567.92,648.91
"Portugal","Donor","DAC","EU","2018-01-02",2011,230.66,275.92,340.64,407.45,409.17,489.42,398.821,477.09,214.8,256.92,276.59,330.86,191551.422,229143.48,398.88,477.16,0.059,0.07,0.309,0.37,192.819,230.66,239.09,285.99,287.81,344.27,48.72,58.28,340.01,406.71,394.1,471.42,591.64,707.75
"Portugal","Donor","DAC","EU","2018-01-02",2012,123.29,135.75,311.61,343.22,375.43,413.51,360.69,397.28,103.69,114.19,159.04,175.15,187963.925,207031.61,360.69,397.28,0,0,0.754,0.83,166.6,183.5,123.09,135.57,160.38,176.62,37.29,41.05,258.46,284.68,303.18,333.93,527.29,580.78
"Portugal","Donor","DAC","EU","2018-01-02",2013,93.19,108.42,212.03,246.7,269.71,313.79,260.249,302.8,73.14,85.12,122.57,142.61,185129.959,215399.09,260.249,302.8,0,0,1.341,1.56,159.45,185.52,87.34,101.62,123.1,143.21,35.76,41.59,211.61,246.21,254.54,296.14,419.699,488.32
"Portugal","Donor","DAC","EU","2018-01-02",2014,74.72,87.5,167.99,196.79,229.08,268.33,210.371,246.44,52.07,60.98,106.21,124.37,193786.198,227011.81,210.371,246.44,0,0,0.785,0.92,156.882,183.78,62.63,73.37,101.57,118.95,38.94,45.58,167.27,195.95,212.54,248.95,367.253,430.22
"Portugal","Donor","DAC","EU","2018-01-02",2015,50.09,50.09,105.2,105.2,163.54,163.54,146,146,28.83,28.83,81.36,81.36,194726.64,194726.64,146,146,0,0,2.81,2.81,162.04,162.04,52.71,52.71,89.93,89.93,37.22,37.22,93.51,93.51,136.79,136.79,308.04,308.04
"Portugal","Donor","DAC","EU","2018-01-02",2016,65.75,66.5,71.49,72.36,154.22,156.02,123.272,124.77,38.44,38.9,111.73,113.03,197871.725,200276.64,123.272,124.77,0,0,4.278,4.33,215.679,218.3,45.35,45.9,98.45,99.61,53.1,53.71,62.83,63.59,119.97,121.36,338.951,343.07
"Romania","Donor","Non-DAC","EU","2018-01-02",2008,27.22,29.84,0.05,0.06,39.09,42.84,24.368,26.68,0.39,0.43,39.72,43.52,125128.13,137000,24.368,26.68,0,0,0,0,87.845,96.18,0.3,0.33,30.79,33.74,30.49,33.41,0,0,33.42,36.63,112.213,122.86
"Romania","Donor","Non-DAC","EU","2018-01-02",2009,28.46,30.08,0.05,0.05,47.93,50.63,31.981,33.77,0.38,0.4,43.3,45.76,189402.654,2e+05,31.981,33.77,0,0,0,0,112.477,118.77,0.18,0.19,33.58,35.46,33.4,35.27,0.05,0.05,41.07,43.38,144.458,152.54
"Romania","Donor","Non-DAC","EU","2018-01-02",2010,24.3,25.89,0.63,0.65,35.32,37.61,25.04,26.67,1.5,1.58,37.18,39.62,150254.245,160036.3,25.04,26.67,0,0,0,0,82.236,87.59,0.24,0.24,28.34,30.18,28.1,29.94,0.4,0.41,30.34,32.3,107.276,114.26
"Romania","Donor","Non-DAC","EU","2018-01-02",2011,24.95,28.17,1.68,1.88,44.28,50,25.297,28.56,2.3,2.59,37.8,42.66,165904.72,187306.435,25.297,28.56,0,0,0,0,119.832,135.29,0.87,0.97,28.08,31.66,27.21,30.69,1.24,1.4,33.18,37.49,145.129,163.85
"Romania","Donor","Non-DAC","EU","2018-01-02",2012,25.75,28.36,4.08,4.46,43.94,48.41,29.946,32.99,3.22,3.53,35.44,39.06,151262.817,166640,29.946,32.99,0,0,0,0,99.323,109.42,1.02,1.1,22.01,24.27,20.99,23.17,1.7,1.84,28.86,31.79,129.269,142.41
"Romania","Donor","Non-DAC","EU","2018-01-02",2013,23.34,25.83,0.99,1.08,38.51,42.6,18.206,20.15,1.9,2.11,33.96,37.59,163399.949,180846,18.206,20.15,0,0,0,0,102.777,113.75,0.52,0.56,23.37,25.82,22.85,25.26,0.52,0.56,27.95,30.9,120.983,133.9
"Romania","Donor","Non-DAC","EU","2018-01-02",2014,29.95,33.24,0.67,0.75,48.45,53.76,63.053,69.99,1.53,1.7,43.39,48.15,178208.948,197814,63.053,69.99,0,0,0.063,0.07,129.404,143.64,0.42,0.47,30.45,33.79,30.03,33.32,0.38,0.43,35.27,39.13,192.457,213.63
"Romania","Donor","Non-DAC","EU","2018-01-02",2015,30.04,30.04,3.72,3.72,48.73,48.73,33.15,33.15,3.74,3.74,46.59,46.59,173815.46,173815.46,33.15,33.15,0,0,0.08,0.08,124.93,124.93,0.67,0.67,30.82,30.82,30.15,30.15,1.12,1.12,35.54,35.54,158.08,158.08
"Romania","Donor","Non-DAC","EU","2018-01-02",2016,36.57,36.36,2.03,2.01,60.17,59.82,110.217,109.47,2.36,2.33,56.98,56.63,186513.718,185250,110.217,109.47,0,0,0.332,0.33,160.88,159.79,0.68,0.67,39.4,39.17,38.72,38.5,0.63,0.63,41.04,40.83,271.097,269.26
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2010,0,0,0,0,0,0,231.114,302.14,0,0,0,0,1095193.616,1431766.82,231.114,302.14,0,0,0,0,130.228,170.25,0,0,0,0,0,0,0,0,0,0,361.342,472.39
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2011,61.62,88.09,23.15,33.08,84.71,121.06,168.256,240.4,38.96,55.66,101.5,145.06,1148168.528,1640478.3,168.256,240.4,0,0,0,0,166.989,238.59,13.59,19.41,65.09,93.01,51.5,73.6,16.91,24.16,75.61,108.07,335.245,478.99
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2012,66.41,106.59,17.47,28.09,84.71,136.03,133.797,214.71,35.69,57.29,109.58,175.84,1215037.108,1949829.56,133.797,214.71,0,0,0,0,155.975,250.3,6.83,10.97,59.06,94.77,52.23,83.8,16.94,27.22,82.31,132.15,289.772,465.01
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2013,128.85,211.05,42.92,70.3,144.15,236.09,220.859,361.85,77.16,126.41,209.23,342.77,1279790.211,2096777.03,220.859,361.85,0,0,0,0,214.731,351.81,36.62,59.99,135.37,221.76,98.75,161.77,39.16,64.14,138.18,226.31,435.59,713.66
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2014,54.86,80.88,32.91,48.5,68.67,101.24,285.072,420.23,57.84,85.26,98.27,144.91,1210512.19,1784440,447.922,660.29,162.85,240.06,0,0,146.23,215.56,24.03,35.42,54.09,79.76,30.06,44.34,28.06,41.35,60.63,89.4,431.302,635.79
"Russia","Donor","Non-DAC","Non-EU","2018-01-02",2015,67.85,67.85,18.61,18.61,82.15,82.15,486.1,486.1,70.27,70.27,144.23,144.23,1283796,1283796,902.14,902.14,416.04,416.04,0,0,259.26,259.26,21.77,21.77,76.26,76.26,54.49,54.49,15.7,15.7,74.93,74.93,745.36,745.36
