"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2013,NA,472.76,NA,315.67,NA,583.1,NA,4149.28,NA,1581.15,NA,1969.54,NA,1464361.92,NA,4149.28,NA,0,NA,342.56,NA,696.26,NA,994.76,NA,1299.36,NA,304.6,NA,309.66,NA,568.79,NA,4845.54
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2014,NA,390.88,NA,183.31,NA,501.15,NA,3498.29,NA,1380.52,NA,1819.67,NA,1394293,NA,3498.29,NA,0,NA,0,NA,884.13,NA,885.84,NA,1218.63,NA,332.79,NA,164.21,NA,466.18,NA,4382.42
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2015,NA,294.9,NA,102.42,NA,361.8,NA,2744.38,NA,1061.6,NA,1400.96,NA,1200091.67,NA,2752.19,NA,7.81,NA,0,NA,741.42,NA,678.75,NA,931.03,NA,252.28,NA,91.01,NA,335.66,NA,3485.8
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2016,NA,300.56,NA,76.7,NA,357.77,NA,2282.88,NA,878.08,NA,1277.16,NA,1232953.99,NA,2290.45,NA,7.57,NA,0,NA,987.07,NA,534.41,NA,838.63,NA,304.22,NA,68.49,NA,332.07,NA,3269.95
"Australia","Donor","DAC","Non-EU","2018-04-09",2016,2017,NA,NA,106.581672675986,NA,347.746512431603,NA,2205.70010772058,NA,NA,NA,NA,NA,1221644.34133656,NA,2208.51004758881,NA,2.80993986822035,NA,0,NA,552.092504340703,NA,582.077643399587,NA,823.825701789346,NA,241.748058389759,NA,97.9744814517363,NA,316.239661185151,NA,2757.79261206129,NA
"Australia","Donor","DAC","Non-EU","2018-04-09",NA,2017,NA,NA,NA,114.17,NA,372.50512520115,NA,2362.74,NA,NA,NA,NA,NA,1308622.12,NA,2365.75,NA,3.01,NA,0,NA,591.4,NA,623.52,NA,882.479867427352,NA,258.959867427352,NA,104.95,NA,338.755071214449,NA,2954.14
"Austria","Donor","DAC","EU","2018-01-02",2016,2007,213.258003797022,NA,58.227280396472,NA,283.696511418341,NA,376.973314281807,NA,55.4927198596337,NA,296.445221231464,NA,342387.620429457,NA,1248.73235438769,NA,871.759040105885,NA,47.2890382491186,NA,456.549025903804,NA,40.5752206552258,NA,233.267443311405,NA,192.692222656179,NA,54.2103052630474,NA,252.946849657549,NA,833.522340185611,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2008,213.218813067483,NA,98.30332033864,NA,285.611710190749,NA,439.265524582156,NA,95.1248814352292,NA,296.683565044895,NA,351292.446767448,NA,1083.15402884384,NA,643.888504261685,NA,39.5812225872266,NA,421.345099715135,NA,79.5136538930622,NA,241.570136877189,NA,162.056482984126,NA,92.9473873798538,NA,259.534462834035,NA,860.610624297292,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2009,256.932730300759,NA,76.3595970840701,NA,364.867859699397,NA,400.147135911801,NA,78.4658225295868,NA,352.792762124041,NA,337374.906272968,NA,452.59750431562,NA,52.4503684038195,NA,36.2431420942507,NA,566.405075846249,NA,62.0444038018297,NA,285.063334556134,NA,223.018930754304,NA,71.4688702021077,NA,317.959720116195,NA,966.55221175805,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2010,261.025675335705,NA,77.1518659207134,NA,357.677054675213,NA,425.241892300849,NA,76.0267151702727,NA,369.830542533279,NA,348512.841294372,NA,569.484358754038,NA,144.242466453189,NA,33.5592484160365,NA,554.187887807964,NA,55.3369596353098,NA,292.976237141607,NA,237.639277506298,NA,65.6213954203296,NA,322.434729516782,NA,979.429780108813,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2011,209.457686392603,NA,73.320633532395,NA,311.010027364653,NA,388.85608872338,NA,69.7089940171494,NA,286.050552353269,NA,362073.919330228,NA,426.512869885952,NA,37.6567811625725,NA,36.5515324434491,NA,540.684192296811,NA,54.1049707621246,NA,229.021458995669,NA,174.916488233544,NA,65.3141073781157,NA,269.558849024618,NA,929.540281020191,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2012,246.95074665205,NA,66.8421469764008,NA,329.064774891271,NA,396.395695845287,NA,69.2399061118677,NA,322.452492967695,NA,363911.961736043,NA,493.938381906185,NA,97.5426860608984,NA,53.1011427000712,NA,525.800911956332,NA,47.1620777645301,NA,222.327604760909,NA,175.165526996379,NA,57.7214401111055,NA,280.90670487047,NA,922.196607801618,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2013,240.893943237622,NA,75.2766123444457,NA,330.716421397984,NA,437.772588405464,NA,69.8219126634771,NA,332.156954002942,NA,376206.737017887,NA,477.202776598488,NA,39.4301881930241,NA,55.5659101156316,NA,551.803041317435,NA,56.4618511260323,NA,262.967470287983,NA,206.505619161951,NA,66.080041384745,NA,289.415297565594,NA,989.575629722899,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2014,216.65980182218,NA,60.5113112708058,NA,297.617385220386,NA,454.886455610109,NA,70.6310091955816,NA,318.115376417249,NA,374210.180850552,NA,548.747946839141,NA,93.861491229032,NA,94.3528223889231,NA,515.389147036004,NA,43.2199023806012,NA,219.806045214466,NA,176.586142833864,NA,53.8395513101785,NA,255.68183973143,NA,970.275602646113,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2015,217.007221216335,NA,55.9573299008269,NA,296.836856994176,NA,787.896940444058,NA,61.5903476236006,NA,312.476290814828,NA,377017.835877423,NA,788.521711640502,NA,0.624771196443593,NA,442.368237946408,NA,545.173330625723,NA,41.4364380609041,NA,223.990550879809,NA,182.554112818905,NA,47.0896096932405,NA,257.375502070416,NA,1333.07027106978,NA
"Austria","Donor","DAC","EU","2018-01-02",2016,2016,236.93,NA,64.26,NA,336.45,NA,978.42,NA,75.58,NA,349.47,NA,385989.16,NA,986.23,NA,7.81,NA,596.13,NA,649.25,NA,43.18,NA,250.2,NA,207.02,NA,53.85,NA,270.1,NA,1627.67,NA
"Austria","Donor","DAC","EU","2018-01-02",NA,2007,NA,226.16,NA,61.75,NA,300.86,NA,399.78,NA,58.85,NA,314.38,NA,363101.89,NA,1324.28,NA,924.5,NA,50.15,NA,484.17,NA,43.03,NA,247.38,NA,204.35,NA,57.49,NA,268.25,NA,883.95
"Austria","Donor","DAC","EU","2018-01-02",NA,2008,NA,242.84,NA,111.96,NA,325.29,NA,500.29,NA,108.34,NA,337.9,NA,400095.36,NA,1233.63,NA,733.34,NA,45.08,NA,479.88,NA,90.56,NA,275.13,NA,184.57,NA,105.86,NA,295.59,NA,980.17
"Austria","Donor","DAC","EU","2018-01-02",NA,2009,NA,287.89,NA,85.56,NA,408.83,NA,448.36,NA,87.92,NA,395.3,NA,378024.48,NA,507.13,NA,58.77,NA,40.61,NA,634.65,NA,69.52,NA,319.41,NA,249.89,NA,80.08,NA,356.27,NA,1083.01
"Austria","Donor","DAC","EU","2018-01-02",NA,2010,NA,280.71,NA,82.97,NA,384.65,NA,457.31,NA,81.76,NA,397.72,NA,374794.7,NA,612.43,NA,155.12,NA,36.09,NA,595.98,NA,59.51,NA,315.07,NA,255.56,NA,70.57,NA,346.75,NA,1053.29
"Austria","Donor","DAC","EU","2018-01-02",NA,2011,NA,240.68,NA,84.25,NA,357.37,NA,446.82,NA,80.1,NA,328.69,NA,416045.61,NA,490.09,NA,43.27,NA,42,NA,621.28,NA,62.17,NA,263.16,NA,200.99,NA,75.05,NA,309.74,NA,1068.1
"Austria","Donor","DAC","EU","2018-01-02",NA,2012,NA,267.78,NA,72.48,NA,356.82,NA,429.83,NA,75.08,NA,349.65,NA,394606.4,NA,535.6,NA,105.77,NA,57.58,NA,570.15,NA,51.14,NA,241.08,NA,189.94,NA,62.59,NA,304.6,NA,999.98
"Austria","Donor","DAC","EU","2018-01-02",NA,2013,NA,274.25,NA,85.7,NA,376.51,NA,498.39,NA,79.49,NA,378.15,NA,428299.26,NA,543.28,NA,44.89,NA,63.26,NA,628.21,NA,64.28,NA,299.38,NA,235.1,NA,75.23,NA,329.49,NA,1126.6
"Austria","Donor","DAC","EU","2018-01-02",NA,2014,NA,251.35,NA,70.2,NA,345.27,NA,527.72,NA,81.94,NA,369.05,NA,434126.35,NA,636.61,NA,108.89,NA,109.46,NA,597.91,NA,50.14,NA,255,NA,204.86,NA,62.46,NA,296.62,NA,1125.63
"Austria","Donor","DAC","EU","2018-01-02",NA,2015,NA,215.35,NA,55.53,NA,294.57,NA,781.88,NA,61.12,NA,310.09,NA,374138.66,NA,782.5,NA,0.62,NA,438.99,NA,541.01,NA,41.12,NA,222.28,NA,181.16,NA,46.73,NA,255.41,NA,1322.89
"Austria","Donor","DAC","EU","2018-01-02",NA,2016,NA,236.93,NA,64.26,NA,336.45,NA,978.42,NA,75.58,NA,349.47,NA,385989.16,NA,986.23,NA,7.81,NA,596.13,NA,649.25,NA,43.18,NA,250.2,NA,207.02,NA,53.85,NA,270.1,NA,1627.67
"Austria","Donor","DAC","EU","2018-04-09",2016,2017,NA,NA,70.6624397486782,NA,335.278514271843,NA,553.910452170739,NA,NA,NA,NA,NA,392724.191418106,NA,563.715288308115,NA,9.8048361373764,NA,148.067515580005,NA,624.051255317035,NA,50.5504507457051,NA,268.95364156254,NA,218.403190816835,NA,57.7760836824121,NA,275.045309731103,NA,1177.96170748777,NA
"Austria","Donor","DAC","EU","2018-04-09",NA,2017,NA,NA,NA,73.15,NA,347.081467979516,NA,573.41,NA,NA,NA,NA,NA,406549.43,NA,583.56,NA,10.15,NA,153.28,NA,646.02,NA,52.33,NA,278.421732256532,NA,226.091732256532,NA,59.81,NA,284.72784803905,NA,1219.43
"Belgium","Donor","DAC","EU","2018-01-02",2016,2007,546.274354517284,NA,443.264561412173,NA,758.504109294263,NA,967.068394754473,NA,362.192464368331,NA,691.009866010285,NA,420560.72714386,NA,1136.92017971125,NA,169.851784956782,NA,77.5995471647972,NA,655.117663953595,NA,359.583458639101,NA,618.986609259721,NA,259.40315062062,NA,409.871125406013,NA,682.852129786497,NA,1622.18605870807,NA
