"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"Slovenia","Donor","DAC","EU","2018-04-10",2008,9.92772247988166,11.94,8.278002,0.656859360059172,0.79,0.547707,14.1931509825444,17.07,11.834631,24.361999,29.3,20.31369,1.18899858846154,1.43,0.991419,14.5673113775148,17.52,12.146616,43533.013007,52356.84,36298.997172,24.361999,29.3,20.31369,0,0,0,0,0,0,31.845207,38.3,26.55339,0.681803386390533,0.82,0.568506,11.1832384718935,13.45,10.501435085503,12.63,8.756379,9.324885,0.615285982840237,0.74,0.513042,12.0396500426036,14.48,10.038984,56.207206,67.6,46.86708
"Slovenia","Donor","DAC","EU","2018-04-10",2009,10.2989686120157,12.36,8.875716,0.516614930376193,0.62,0.445222,16.265037807973,19.52,14.017312,21.03956,25.25,18.132025,1.06655985626053,1.28,0.919168,15.9067403562605,19.09,13.708529,39893.996283,47877.59,34380.897379,21.03956,25.25,18.132025,0,0,0,0,0,0,38.321162,45.99,33.025419,0.416624943851769,0.5,0.35905,11.8071509087591,14.17,11.3905259649074,13.67,9.816427,10.175477,0.499949932622122,0.6,0.43086,14.131918095452,16.96,12.178976,59.360722,71.24,51.157444
"Slovenia","Donor","DAC","EU","2018-04-10",2010,10.3521709812287,11.7,8.8335,0.548576581911263,0.62,0.4681,14.2187510827645,16.07,12.13285,19.748757,22.32,16.8516,1.55724965187713,1.76,1.3288,15.6521286032423,17.69,13.35595,40892.667516,46216.8,34893.684,19.748757,22.32,16.8516,0,0,0,0,0,0,32.100578,36.28,27.3914,1.20332927645051,1.36,1.0268,12.2544929991468,13.85,11.0511637226962,12.49,9.42995,10.45675,0.504336534982935,0.57,0.43035,12.4756932337884,14.1,10.6455,51.849335,58.6,44.243
"Slovenia","Donor","DAC","EU","2018-04-10",2011,8.36849531049864,10.04,7.220768,0.600131137804684,0.72,0.517824,13.8696974070416,16.64,11.967488,15.836794,19,13.6648,1.58367939142903,1.9,1.36648,13.0111764737932,15.61,11.226712,40621.009024,48734.56,35049.895552,15.836794,19,13.6648,0,0,0,0,0,0,36.482972,43.77,31.479384,1.25027320375976,1.5,1.0788,10.1022074863788,12.12,8.85193428261908,10.62,7.637904,8.716704,0.48343897212044,0.58,0.417136,10.8607065633264,13.03,9.371176,52.319766,62.77,45.144184
"Slovenia","Donor","DAC","EU","2018-04-10",2012,9.85502827339607,10.98,8.54244,1.00524878562874,1.12,0.87136,15.7070122754491,17.5,13.615,17.143082,19.1,14.8598,0.897543558597092,1,0.778,13.6336866550898,15.19,11.81782,40298.385839,44898.53,34931.05634,17.143082,19.1,14.8598,0,0,0,0.233361,0.26,0.20228,35.318339,39.35,30.6143,0.59237874867408,0.66,0.51348,9.04723907065868,10.08,8.4548603219846,9.42,7.32876,7.84224,0.933445300940975,1.04,0.80912,11.7847469243798,13.13,10.21514,52.461421,58.45,45.4741
"Slovenia","Donor","DAC","EU","2018-04-10",2013,8.72333945410236,10.2,7.68264,0.966409174817222,1.13,0.851116,14.0856275303006,16.47,12.405204,17.592068,20.57,15.493324,0.838124771080423,0.98,0.738136,12.7856789057677,14.95,11.26034,40543.23382,47406.27,35706.402564,17.592068,20.57,15.493324,0,0,0,0.085523,0.1,0.07532,35.047299,40.98,30.866136,0.487480734199838,0.57,0.429324,9.2108201883022,10.77,8.72333945410236,10.2,7.68264,8.111964,0.880886238992689,1.03,0.775796,10.9896972534525,12.85,9.67862,52.639367,61.55,46.35946
"Slovenia","Donor","DAC","EU","2018-04-10",2014,8.82175099528685,10.39,7.830943,0.271699741914513,0.32,0.241184,13.6953651158784,16.13,12.157181,17.159537,20.21,15.232277,0.568871334633512,0.67,0.504979,12.8123409546563,15.09,11.373333,41957.428199,49416.23,37245.012551,17.159537,20.21,15.232277,0,0,0,0.067925,0.08,0.060296,35.083229,41.32,31.142884,0.373587145132456,0.44,0.331628,9.14439443881034,10.77,8.77080729367788,10.33,7.785721,8.117349,0.220756040305542,0.26,0.195962,10.3330808096863,12.17,9.172529,52.242766,61.53,46.375161
"Slovenia","Donor","DAC","EU","2018-04-10",2015,9.09272723905831,9.04,8.14956,0.593441268920841,0.59,0.531885,14.3934653529784,14.31,12.900465,25.2464,25.1,22.62765,0.905249393269079,0.9,0.81135,13.9508989829357,13.87,12.503805,42657.966295,42410.6,38233.1559,25.2464,25.1,22.62765,0,0,0,7.161528,7.12,6.41868,38.412749,38.19,34.428285,0.412391390267025,0.41,0.369615,9.60570189524412,9.55,9.19331050497709,9.14,8.23971,8.609325,0.271574817980724,0.27,0.243405,10.7925844330858,10.73,9.673095,63.659149,63.29,57.055935
"Slovenia","Donor","DAC","EU","2018-04-10",2016,12.16,12.16,10.996288,0.55,0.55,0.497365,19.52,19.52,17.651936,27.86,27.86,25.193798,0.92,0.92,0.831956,18.83,18.83,17.027969,43461.57,43461.57,39302.297751,27.86,27.86,25.193798,0,0,0,7.24,7.24,6.547132,53.45,53.45,48.334835,0.41,0.41,0.370763,13.3,13.3,12.89,12.89,11.656427,12.02719,0.3,0.3,0.27129,13.75,13.75,12.434125,81.31,81.31,73.528633
"Slovenia","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,0.450223088135149,0.47,0.416937,18.006833227598,18.7978178818554,16.6755442429939,24.494052,25.57,22.683147,NA,NA,NA,NA,NA,NA,45684.184921,47690.95,42306.641745,24.494052,25.57,22.683147,0,0,0,1.302773,1.36,1.206456,48.652831,50.79,45.055809,0.440643873493976,0.46,0.408066,12.2381571634771,12.7757416676677,11.7975132899832,12.3157416676677,10.925294433388,11.333360433388,0.364010156364589,0.38,0.337098,12.7884062281636,13.350161476909,11.842928246166,73.146883,76.36,67.738956
"Spain","Donor","DAC","EU","2018-04-10",2007,810.870002290466,967.6,706.8318,622.097186337644,742.34,542.27937,1297.31658169264,1548.07,1130.865135,2594.817528,3096.36,2261.89098,597.098992695308,712.51,520.488555,1328.91838800349,1585.78,1158.41229,1173448.646713,1400260.1,1022890.00305,2798.146785,3338.99,2439.132195,203.329257,242.63,177.241215,22.350044,26.67,19.482435,1509.11824,1800.81,1315.491705,362.226591349763,432.24,315.75132,940.620934963712,1122.43,578.394343613949,690.19,504.183795,819.935115,394.532336066896,470.79,343.912095,991.514005694489,1183.16,864.29838,4103.935768,4897.17,3577.382685
"Spain","Donor","DAC","EU","2018-04-10",2008,1018.77950903494,1308.28,907.030524,849.977085873609,1091.51,756.743883,1622.92351391118,2084.1,1444.90653,3473.154438,4460.1,3092.18733,814.459816323449,1045.9,725.12247,1615.48676924544,2074.55,1438.285515,1197242.419257,1537455.65,1065918.002145,3739.101772,4801.62,3328.963146,265.947334,341.52,236.775816,31.491304,40.44,28.037052,1608.205768,2065.2,1431.80316,533.436526797867,685.02,474.924366,1184.731829005,1521.39,651.295302207135,836.37,579.855321,1054.779687,550.451487106374,706.87,490.072971,1255.63398626311,1612.44,1117.904652,5081.360206,6525.3,4523.99049
"Spain","Donor","DAC","EU","2018-04-10",2009,1011.67024719387,1257.45,902.974845,1191.79091596143,1481.33,1063.743073,1912.03222869188,2376.55,1706.600555,3521.178857,4376.63,3142.858003,1013.68160002539,1259.95,904.770095,1740.62474039043,2163.5,1553.60935,1153471.772389,1433701.43,1029540.996883,3598.744668,4473.04,3212.090024,77.565811,96.41,69.232021,31.755239,39.47,28.343407,1698.442649,2111.07,1515.959367,794.605049617106,987.65,709.231465,1368.67732937592,1701.19,574.072279758811,713.54,512.393074,1221.624539,742.293785175144,922.63,662.540603,1379.97308687769,1715.23,1231.706663,5219.621506,6487.7,4658.81737
"Spain","Donor","DAC","EU","2018-04-10",2010,815.10482586274,965.16,728.6958,813.6522373795,963.44,727.3972,1533.24937046921,1815.51,1370.71005,3090.770481,3659.76,2763.1188,686.415620585932,812.78,613.6489,1456.77734305213,1724.96,1302.3448,1172833.766196,1388744.37,1048501.99935,3377.133099,3998.84,3019.1242,286.362618,339.08,256.0054,31.357332,37.13,28.03315,1647.353574,1950.62,1472.7181,475.486260368478,563.02,425.0801,1087.65940795346,1287.89,612.173147584985,724.87,547.27685,972.35695,504.833614899053,597.77,451.31635,1156.83471182683,1369.8,1034.199,4738.124055,5610.38,4235.8369
"Spain","Donor","DAC","EU","2018-04-10",2011,636.861471489052,791.87,569.512904,571.910239042494,711.11,511.430312,1144.1260930965,1422.6,1023.13392,1810.600051,2251.29,1619.127768,520.574959608816,647.28,465.523776,1057.75768234321,1315.21,945.899032,1172079.242562,1457356.79,1048131.003368,1835.049252,2281.69,1640.991448,24.449201,30.4,21.86368,28.092454,34.93,25.121656,1521.174592,1891.42,1360.309264,420.558425841432,522.92,376.084064,840.047199142573,1044.51,419.488773301141,521.59,375.127528,751.211592,322.986812166142,401.6,288.83072,797.566712542435,991.69,713.223448,3331.774643,4142.71,2979.437032
"Spain","Donor","DAC","EU","2018-04-10",2012,321.134985629171,369.37,287.36986,199.547613237695,229.52,178.56656,558.754182971426,642.68,500.00504,790.887386,909.68,707.73104,222.482721451403,255.9,199.0902,514.674956798756,591.98,460.56044,1136519.136366,1307226.22,1017021.99916,856.771484,985.46,766.68788,65.884098,75.78,58.95684,19.753058,22.72,17.67616,914.509184,1051.87,818.35486,180.403144592287,207.5,161.435,371.004500683694,426.73,190.601356091407,219.23,170.56094,331.99594,152.173312761388,175.03,136.17334,398.034542926461,457.82,356.18396,1705.39657,1961.55,1526.0859
"Spain","Donor","DAC","EU","2018-04-10",2013,316.781055427096,377.69,284.476108,146.191156665368,174.3,131.28276,524.3255288456,625.14,470.855448,588.161495,701.25,528.1815,143.758831052462,171.4,129.09848,480.048815361006,572.35,431.09402,1132514.449817,1350268.19,1017022.000708,792.552333,944.94,711.728808,204.390838,243.69,183.547308,20.57412,24.53,18.475996,1176.868167,1403.15,1056.85258,125.726072198156,149.9,112.90468,368.153449837616,438.94,242.42737763946,289.04,217.704928,330.609608,109.068835414598,130.04,97.946128,393.634157465235,469.32,353.491824,1765.029662,2104.4,1585.03408
"Spain","Donor","DAC","EU","2018-04-10",2014,384.884986573208,457.69,344.960953,118.604685499542,141.04,106.301848,599.221077328478,712.57,537.064009,390.157614,463.96,349.686652,143.386875528409,170.51,128.513387,560.56355185759,666.6,502.41642,1174026.508988,1396105.88,1052245.001756,390.157614,463.96,349.686652,0,0,0,15.498329,18.43,13.890691,1188.13236,1412.88,1064.887656,104.224792405085,123.94,93.413578,409.431716364272,486.88,305.206923959187,362.94,273.547878,366.961456,100.205149774003,119.16,89.810892,459.307240307677,546.19,411.663403,1578.289974,1876.84,1414.574308
"Spain","Donor","DAC","EU","2018-04-10",2015,271.476126115869,271.55,244.802325,19.4447087201387,19.45,17.534175,380.486462303217,380.59,343.101885,232.826644,232.89,209.950335,89.3656818762568,89.39,80.585085,421.33534653483,421.45,379.937175,1195969.192863,1196294.64,1078459.61796,354.473541,354.57,319.644855,121.646897,121.68,109.69452,32.281216,32.29,29.109435,1041.886482,1042.17,939.516255,77.1989926667922,77.22,69.61383,310.195589803837,310.28,232.996597137045,233.06,210.10359,279.71742,32.0012918319608,32.01,28.857015,298.948650312754,299.03,269.575545,1274.713126,1275.06,1149.46659
"Spain","Donor","DAC","EU","2018-04-10",2016,484.66,484.66,438.278038,40.98,40.98,37.058214,688.54,688.54,622.646722,430.96,430.96,389.717128,146.59,146.59,132.561337,810.57,810.57,732.998451,1232556.67,1232556.67,1114600.996681,2597.06,2597.06,2348.521358,2166.1,2166.1,1958.80423,88.55,88.55,80.075765,1680.51,1680.51,1519.685193,68.08,68.08,61.564744,553.88,553.88,485.8,485.8,439.30894,500.873684,57.99,57.99,52.440357,547.58,547.58,495.176594,2111.47,2111.47,1909.402321
"Spain","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,93.7736551619499,96.31,85.436601,688.010554531853,706.619533946136,626.842188563618,746.460105,766.65,680.095215,NA,NA,NA,NA,NA,NA,1227390.5593,1260588.43,1118267.996253,791.277895,812.68,720.928428,44.81779,46.03,40.833213,212.638652,218.39,193.733769,1559.674668,1601.86,1421.010006,62.304809405183,63.99,56.765529,510.011993432763,523.806553159083,447.70718402758,459.816553159083,407.903264307423,464.668793307423,91.0084471808479,93.47,82.917237,522.252409397392,536.378042022532,475.820961078188,2306.134773,2368.51,2101.105221
"Sweden","Donor","DAC","EU","2018-04-10",2007,1166.01173546627,1266.68,8559.5901,853.014522047537,926.66,6261.90495,1474.38790891276,1601.68,10823.3526,2630.99187,2858.14,19313.88105,919.172717825446,998.53,6747.566475,1627.25964361204,1767.75,11945.570625,427306.139434,464197.85,3136816.971375,2699.184428,2932.22,19814.47665,68.192558,74.08,500.5956,237.707401,258.23,1744.989225,1294.922181,1406.72,9505.9104,688.387671721656,747.82,5053.39365,1261.43344931541,1370.34,573.045777593759,622.52,4206.6789,9260.07255,784.094748596974,851.79,5755.970925,1367.06379529447,1485.09,10035.495675,3925.914051,4264.86,28819.79145
"Sweden","Donor","DAC","EU","2018-04-10",2008,1230.38174816943,1397.59,9335.481923,903.292949083235,1026.05,6853.706185,1563.06083060114,1775.48,11859.673756,2766.406736,3142.36,20990.022092,1030.9891064484,1171.1,7822.59667,1740.30362523974,1976.81,13204.497757,425248.584274,483039.65,3226559.950105,2766.406736,3142.36,20990.022092,0,0,0,330.548612,375.47,2508.026959,1399.234716,1589.39,10616.648383,794.691791051066,902.69,6029.698393,1367.92912925686,1553.83,573.237338205797,651.14,4349.419858,10379.118251,833.806167278119,947.12,6326.477464,1442.26669235865,1638.27,10943.152119,4165.641452,4731.75,31606.670475
"Sweden","Donor","DAC","EU","2018-04-10",2009,1204.79482577261,1226.5,9360.8933,878.237963253374,894.06,6823.644732,1567.29416091723,1595.53,12177.404066,2935.662109,2988.55,22809.21131,1024.63060319214,1043.09,7961.071498,1762.77248976252,1794.53,13696.211866,398403.841843,405581.35,3095477.97947,2955.72074,3008.97,22965.060834,20.058631,20.42,155.849524,301.429548,306.86,2342.016892,1512.019962,1539.26,11747.940172,773.377100920536,787.31,6008.907382,1357.21880711394,1381.67,583.841706193405,594.36,4536.274392,10545.181774,795.852197221944,810.19,6183.532118,1418.02337271959,1443.57,11017.614954,4447.682071,4527.81,34557.151482
"Sweden","Donor","DAC","EU","2018-04-10",2010,1114.45722424164,1215,8750.673,802.04230195629,874.4,6297.60368,1409.03165845169,1536.15,11063.65953,2686.722469,2929.11,21096.036042,992.353071409505,1081.88,7791.916136,1697.0752816028,1850.18,13325.366396,428903.678343,467598,3367734.3156,2686.722469,2929.11,21096.036042,0,0,0,363.854232,396.68,2856.968696,1471.606368,1604.37,11554.993614,760.169896782108,828.75,5968.82325,1292.94465738171,1409.59,532.774760599601,580.84,4183.325848,10152.149098,740.302288982047,807.09,5812.823598,1299.35622610389,1416.58,10202.492476,4158.328837,4533.48,32651.029656
"Sweden","Donor","DAC","EU","2018-04-10",2011,1324.36156307874,1621.36,10521.329312,956.710245948834,1171.26,7600.540392,1700.08307575017,2081.34,13506.231528,2830.163666,3464.85,22484.10462,1082.81930360643,1325.65,8602.40798,1845.67332406218,2259.58,14662.866536,449228.905068,549972,3568878.3024,2982.329327,3651.14,23692.977688,152.165661,186.29,1208.873068,399.417502,488.99,3173.153908,1594.41089,1951.97,12666.723724,834.701631774887,1021.89,6631.248588,1434.09335144406,1755.7,599.391719669171,733.81,4761.839852,11393.08844,872.414276324737,1068.06,6930.854952,1550.55574823673,1898.28,12318.318576,4424.574556,5416.82,35150.828344
"Sweden","Donor","DAC","EU","2018-04-10",2012,1245.13785883726,1475.45,9987.173505,1013.94197432267,1201.49,8132.765661,1669.52020080214,1978.33,13391.117937,3069.961676,3637.81,24623.972109,1058.7026317714,1254.53,8491.788117,1747.11715503311,2070.28,14013.518292,454038.674204,538021.84,3641816.032776,3069.961676,3637.81,24623.972109,0,0,0,481.624337,570.71,3863.078919,1351.917006,1601.98,10843.642422,803.210756910861,951.78,6442.503642,1301.07180257221,1541.73,497.861045661353,589.95,3993.312555,10435.816197,829.211432928873,982.59,6651.053451,1422.69521794761,1685.85,11411.350065,4421.878682,5239.79,35467.614531
"Sweden","Donor","DAC","EU","2018-04-10",2013,1274.76898908069,1586.55,10333.51746,938.044531645413,1167.47,7603.965604,1574.1313980509,1959.13,12760.205516,3147.997646,3917.93,25518.261676,1125.56184069439,1400.85,9124.01622,1882.97492899718,2343.51,15263.749332,461849.989945,574808.54,3743842.982728,3147.997646,3917.93,25518.261676,0,0,0,566.585421,705.16,4592.848112,1534.141954,1909.36,12436.043552,860.652864803365,1071.15,6976.61418,1448.89220462616,1803.26,588.239339822799,732.11,4768.378852,11744.993032,859.937763230593,1070.26,6970.817432,1448.79578643658,1803.14,11744.211448,4682.1396,5827.29,37954.305228
"Sweden","Donor","DAC","EU","2018-04-10",2014,1216.70048083789,1462.76,10034.387324,922.340412772236,1108.87,7606.737313,1599.81191023788,1923.35,13193.988665,3612.563027,4343.15,29793.574685,1107.12956398156,1331.03,9130.732697,1836.71233405822,2208.16,15147.756784,473708.669356,569509.18,3906776.023882,3612.563027,4343.15,29793.574685,0,0,0,911.069739,1095.32,7513.785668,1571.714244,1889.57,12962.261243,819.323954466175,985.02,6757.138698,1353.91158267211,1627.72,534.587628205936,642.7,4408.85773,11165.996428,818.0180534606,983.45,6746.368655,1420.36281282206,1707.61,11714.033839,5184.277271,6232.72,42755.835928
"Sweden","Donor","DAC","EU","2018-04-10",2015,1358.29787617349,1357.17,11439.993081,873.835598094442,873.11,7359.706123,1660.658944699,1659.28,13986.568904,4831.682035,4827.67,40693.878731,1100.57387247945,1099.66,9269.364038,1974.75976144141,1973.12,16632.020416,505157.932941,504738.47,4254591.985171,4831.682035,4827.67,40693.878731,0,0,0,2398.571678,2396.58,20201.491794,2263.509528,2261.63,19063.957759,847.964115451085,847.26,7141.808718,1474.45432784034,1473.23,626.49021238925,625.97,5276.488921,12418.297639,803.387100482609,802.72,6766.367696,1523.40497449746,1522.14,12830.574702,7095.191563,7089.3,59757.83649
"Sweden","Donor","DAC","EU","2018-04-10",2016,1263.03,1263.03,10807.116195,842.97,842.97,7212.872805,1520.39,1520.39,13009.217035,3451.99,3451.99,29536.952435,1134.31,1134.31,9705.723515,1874.15,1874.15,16036.164475,520233.51,520233.51,4451378.028315,3451.99,3451.99,29536.952435,0,0,0,821.49,821.49,7029.079185,1441.75,1441.75,12336.333875,837.57,837.57,7166.667705,1405.62,1405.62,568.05,568.05,4860.519825,12027.18753,797.01,797.01,6819.616065,1400.72,1400.72,11985.26068,4893.74,4893.74,41873.28631
"Sweden","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,969.684674540492,993.44,8490.93168,1690.61454854605,1732.03120684925,14803.6707249405,3673.11604,3763.1,32163.2157,NA,NA,NA,NA,NA,NA,533406.580915,546473.97,4670713.02159,3673.11604,3763.1,32163.2157,0,0,0,808.366642,828.17,7078.36899,1706.591928,1748.4,14943.5748,985.116622825728,1009.25,8626.05975,1621.2811317896,1660.99926074247,636.164508963875,651.749260742474,5570.50093156593,14196.5606815659,955.56068392143,978.97,8367.25659,1597.77946747731,1636.92185289289,13990.7710766755,5379.707968,5511.5,47106.7905
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2007,438.184009931141,355.87,426.972826,316.531214862164,257.07,308.432586,562.804246661213,457.08,548.404584,1476.690087,1199.29,1438.908142,380.054167267108,308.66,370.330268,673.658509212427,547.11,656.422578,559527.888158,454419.114,545212.052977,1555.530456,1263.32,1515.731336,78.840369,64.03,76.823194,187.736859,152.47,182.933506,519.05603,421.55,505.77569,330.371067256651,268.31,321.918338,571.842015039819,464.42,241.470947783168,196.11,235.292778,557.211116,296.300896815775,240.64,288.719872,533.770107919042,433.5,520.1133,1995.746117,1620.84,1944.683832
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2008,415.583010270247,376.35,412.70541,299.162346598686,270.92,297.090872,552.045740200358,499.93,548.223238,1602.636498,1451.34,1591.539444,350.686468451242,317.58,348.258228,625.86459030416,566.78,621.530948,533525.518161,483158.175,529831.254705,1711.802265,1550.2,1699.94932,109.165767,98.86,108.409876,287.876952,260.7,285.88362,538.253707,487.44,534.526704,308.393843784442,279.28,306.258448,538.75061745915,487.89,230.356773674708,208.61,228.761726,535.020174,274.394107139773,248.49,272.494134,513.551722031045,465.07,509.995762,2140.890205,1938.78,2126.066148
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2009,464.287829924288,427.47,463.334733,335.624914789118,309.01,334.935939,607.743830524096,559.55,606.496245,1724.502309,1587.75,1720.962225,399.78259161703,368.08,398.961912,715.922340970348,659.15,714.452685,568001.596002,522959.308,566835.593941,1901.378518,1750.6,1897.47534,176.876209,162.85,176.513115,370.142114,340.79,369.382281,607.65694,559.47,606.409533,340.230104390444,313.25,339.531675,588.095745644852,541.46,247.865641254408,228.21,247.356819,586.888494,308.211003105751,283.77,307.578303,558.19459712492,513.93,557.048727,2332.159249,2147.22,2327.371758
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2010,497.695552820608,477.83,498.233341,324.367136972132,311.42,324.717634,628.413155061962,603.33,629.092191,1751.897095,1681.97,1753.790119,421.171072847124,404.36,421.626172,754.245772805213,724.14,755.060778,609515.80919,585186.943,610174.425466,1783.498466,1712.31,1785.425637,31.601371,30.34,31.635518,380.716319,365.52,381.127704,612.070851,587.64,612.732228,359.968154060654,345.6,360.35712,624.090620804579,599.18,264.122466743925,253.58,264.407866,624.764986,303.514815084706,291.4,303.84278,593.895375474086,570.19,594.537113,2363.967946,2269.61,2366.522347
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2011,497.122370161311,562.68,499.209696,436.152698652048,493.67,437.984024,717.394193095515,812,720.4064,2025.684426,2292.82,2034.189904,472.649686480589,534.98,474.634256,771.092738731408,872.78,774.330416,587972.517053,665510.94,590441.305968,2094.428813,2370.63,2103.222936,68.744387,77.81,69.033032,474.840743,537.46,476.834512,601.056179,680.32,603.579904,399.258140149993,451.91,400.934552,639.744223106396,724.11,240.486082956403,272.2,241.49584,642.430392,364.678326458172,412.77,366.209544,632.437757617603,715.84,635.093248,2626.740605,2973.14,2637.769808
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2012,544.242484993385,581.73,545.371875,491.823138502437,525.7,492.84375,759.598711456911,811.92,761.175,2281.312787,2438.45,2286.046875,525.026112033826,561.19,526.115625,823.310249847659,880.02,825.01875,610711.442051,652777.35,611978.765625,2295.477144,2453.59,2300.240625,14.164357,15.14,14.19375,612.210815,654.38,613.48125,559.97858,598.55,561.140625,443.043114835864,473.56,443.9625,663.105200889779,708.78,220.062086053915,235.22,220.51875,664.48125,407.014754433108,435.05,407.859375,664.471116397129,710.24,665.85,2841.291367,3037,2847.1875
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2013,581.390452701836,628.92,582.883056,523.86337792025,566.69,525.208292,814.67877974476,881.28,816.770304,2316.262078,2505.62,2322.208616,597.355302155122,646.19,598.888892,937.821663107368,1014.49,940.229332,645107.209209,697845.697673,646763.392604,2316.262078,2505.62,2322.208616,0,0,0,416.269352,450.3,417.33804,642.014357,694.5,643.6626,490.861344018552,530.99,492.121532,764.445431783465,826.94,273.584087764912,295.95,274.28646,766.407992,439.518683993335,475.45,440.64706,719.564514530596,778.39,721.411852,2958.276435,3200.12,2965.871216
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2014,636.272498407571,692.67,633.79305,597.609485056372,650.58,595.2807,913.407949299863,994.37,909.84855,2552.291657,2778.52,2542.3458,682.183104425459,742.65,679.52475,1049.91805654913,1142.98,1045.8267,640787.895444,697585.63,638290.85145,2552.291657,2778.52,2542.3458,0,0,0,444.087284,483.45,442.35675,682.890411,743.42,680.2293,532.004533439775,579.16,529.9314,800.891139953503,871.88,268.886606513728,292.72,267.8388,797.7702,494.250913845233,538.06,492.3249,791.843131364543,862.03,788.75745,3235.182068,3521.94,3222.5751
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2015,696.417383573086,716.76,689.738148,636.147878713665,654.73,630.046679,983.734734564209,1012.47,974.299881,2649.108533,2726.49,2623.701327,746.79581057552,768.61,739.633403,1155.44889857848,1189.2,1144.36716,666727.564485,686202.93,660333.079539,2649.108533,2726.49,2623.701327,0,0,0,483.487156,497.61,478.850103,780.054317,802.84,772.572932,600.596352310212,618.14,594.836122,901.603810079817,927.94,301.007457769605,309.8,298.12054,892.956662,534.370825126299,549.98,529.245754,870.929809299357,896.37,862.576851,3429.16285,3529.33,3396.274259
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2016,670.89,670.89,660.893739,583.7,583.7,575.00287,961.7,961.7,947.37067,2772.51,2772.51,2731.199601,686.21,686.21,675.985471,1101.94,1101.94,1085.521094,675175.57,675175.57,665115.454007,2772.51,2772.51,2731.199601,0,0,0,691.47,691.47,681.167097,809.98,809.98,797.911298,573.74,573.74,565.191274,896.23,896.23,322.49,322.49,317.684899,882.876173,490.91,490.91,483.595441,834.14,834.14,821.711314,3582.49,3582.49,3529.110899
"Switzerland","Donor","DAC","Non-EU","2018-04-10",2017,NA,NA,NA,489.912354803393,491.93,484.403471,870.907666091225,874.494394721252,861.114630482017,2279.462308,2288.85,2253.830595,NA,NA,NA,NA,NA,NA,675385.456046,678166.95,667790.995665,2279.462308,2288.85,2253.830595,0,0,0,283.582101,284.75,280.393325,804.417105,807.73,795.371731,499.731914127609,501.79,494.112613,860.427064313982,863.970629844271,360.695150186374,362.180629844271,356.639266207654,850.751879207654,444.210572106815,446.04,439.215588,806.628038725786,809.950039430253,797.55780382697,3083.879413,3096.58,3049.202326
